GST Id,Date,State Name,State Code,CGST,SGST,IGST,CESS,Total_GST,Year,Month,Region_type
0,01-07-2017,Andaman And Nicobar Islands,35,0.0,0.0,0.0,0.0,0.0,2017-01-01,1900-07-01,Union Territory
1,01-07-2017,Andhra Pradesh,28,2.6,2.59,4.32,0.0,9.51,2017-01-01,1900-07-01,State
2,01-07-2017,Arunachal Pradesh,12,0.0,0.0,0.0,0.0,0.0,2017-01-01,1900-07-01,State
3,01-07-2017,Assam,18,0.02,0.02,0.21,0.07,0.32,2017-01-01,1900-07-01,State
4,01-07-2017,Bihar,10,0.02,0.02,0.47,0.04,0.55,2017-01-01,1900-07-01,State
5,01-07-2017,Chandigarh,4,0.02,0.03,0.33,0.0,0.38,2017-01-01,1900-07-01,Union Territory
6,01-07-2017,Chhattisgarh,22,0.58,0.58,0.0,0.01,1.17,2017-01-01,1900-07-01,State
7,01-07-2017,Delhi,7,0.66,0.64,2.04,0.01,3.3499999999999996,2017-01-01,1900-07-01,Union Territory
8,01-07-2017,Goa,30,0.06,0.06,0.0,0.0,0.12,2017-01-01,1900-07-01,State
9,01-07-2017,Gujarat,24,0.2,0.19,2.2,0.0,2.5900000000000003,2017-01-01,1900-07-01,State
10,01-07-2017,Haryana,6,0.2,0.2,0.51,0.0,0.91,2017-01-01,1900-07-01,State
11,01-07-2017,Himachal Pradesh,2,0.09,0.09,0.0,0.0,0.18,2017-01-01,1900-07-01,State
12,01-07-2017,Jammu And Kashmir,1,0.0,0.0,0.0,0.0,0.0,2017-01-01,1900-07-01,Union Territory
13,01-07-2017,Jharkhand,20,0.07,0.07,0.01,0.0,0.15000000000000002,2017-01-01,1900-07-01,State
14,01-07-2017,Karnataka,29,0.42,0.4,1.61,0.0,2.43,2017-01-01,1900-07-01,State
15,01-07-2017,Kerala,32,0.03,0.03,0.17,0.0,0.23,2017-01-01,1900-07-01,State
16,01-07-2017,Madhya Pradesh,23,0.25,0.25,0.39,0.0,0.89,2017-01-01,1900-07-01,State
17,01-07-2017,Maharashtra,27,1.21,1.31,5.12,0.0,7.640000000000001,2017-01-01,1900-07-01,State
18,01-07-2017,Manipur,14,0.0,0.0,0.04,0.0,0.04,2017-01-01,1900-07-01,State
19,01-07-2017,Meghalaya,17,0.01,0.03,0.0,0.0,0.04,2017-01-01,1900-07-01,State
20,01-07-2017,Mizoram,15,0.0,0.0,0.0,0.0,0.0,2017-01-01,1900-07-01,State
21,01-07-2017,Nagaland,13,0.0,0.0,0.0,0.0,0.0,2017-01-01,1900-07-01,State
22,01-07-2017,Odisha,21,0.15,0.11,0.16,0.0,0.42000000000000004,2017-01-01,1900-07-01,State
23,01-07-2017,Puducherry,34,0.0,0.0,0.0,0.0,0.0,2017-01-01,1900-07-01,Union Territory
24,01-07-2017,Punjab,3,0.1,0.65,1.97,0.0,2.7199999999999998,2017-01-01,1900-07-01,State
25,01-07-2017,Rajasthan,8,1.29,1.23,2.4,0.0,4.92,2017-01-01,1900-07-01,State
