"id","date","state_name","state_code","cgst","sgst","igst","cess"
0,"2017-07-01","Andaman And Nicobar Islands","35",0.0,0.0,0.0,0.0
1,"2017-07-01","Andhra Pradesh","28",2.6,2.59,4.32,0.0
2,"2017-07-01","Arunachal Pradesh","12",0.0,0.0,0.0,0.0
3,"2017-07-01","Assam","18",0.02,0.02,0.21,0.07
4,"2017-07-01","Bihar","10",0.02,0.02,0.47,0.04
5,"2017-07-01","Chandigarh","04",0.02,0.03,0.33,0.0
6,"2017-07-01","Chhattisgarh","22",0.58,0.58,0.0,0.01
7,"2017-07-01","Delhi","07",0.66,0.64,2.04,0.01
8,"2017-07-01","Goa","30",0.06,0.06,0.0,0.0
9,"2017-07-01","Gujarat","24",0.2,0.19,2.2,0.0
10,"2017-07-01","Haryana","06",0.2,0.2,0.51,0.0
11,"2017-07-01","Himachal Pradesh","02",0.09,0.09,0.0,0.0
12,"2017-07-01","Jammu And Kashmir","01",0.0,0.0,0.0,0.0
13,"2017-07-01","Jharkhand","20",0.07,0.07,0.01,0.0
14,"2017-07-01","Karnataka","29",0.42,0.4,1.61,0.0
15,"2017-07-01","Kerala","32",0.03,0.03,0.17,0.0
16,"2017-07-01","Madhya Pradesh","23",0.25,0.25,0.39,0.0
17,"2017-07-01","Maharashtra","27",1.21,1.31,5.12,0.0
18,"2017-07-01","Manipur","14",0.0,0.0,0.04,0.0
19,"2017-07-01","Meghalaya","17",0.01,0.03,0.0,0.0
20,"2017-07-01","Mizoram","15",0.0,0.0,0.0,0.0
21,"2017-07-01","Nagaland","13",0.0,0.0,0.0,0.0
22,"2017-07-01","Odisha","21",0.15,0.11,0.16,0.0
23,"2017-07-01","Puducherry","34",0.0,0.0,0.0,0.0
24,"2017-07-01","Punjab","03",0.1,0.65,1.97,0.0
25,"2017-07-01","Rajasthan","08",1.29,1.23,2.4,0.0
26,"2017-07-01","Sikkim","11",0.02,0.02,0.0,0.0
27,"2017-07-01","Tamil Nadu","33",0.37,0.36,4.98,0.0
28,"2017-07-01","Telangana","36",0.28,0.26,2.07,0.0
29,"2017-07-01","The Dadra And Nagar Haveli And Daman And Diu","38",0.0,0.0,0.01,0.0
30,"2017-07-01","Tripura","16",0.0,0.0,0.0,0.0
31,"2017-07-01","Uttar Pradesh","09",0.67,0.65,1.8,0.0
32,"2017-07-01","Uttarakhand","05",0.07,0.07,0.04,0.0
33,"2017-07-01","West Bengal","19",0.57,0.57,1.54,0.11
34,"2017-08-01","Andaman And Nicobar Islands","35",3.33,3.98,0.37,0.02
35,"2017-08-01","Andhra Pradesh","28",448.07,660.89,755.96,24.43
36,"2017-08-01","Arunachal Pradesh","12",3.45,6.17,3.21,0.02
37,"2017-08-01","Assam","18",161.79,270.71,244.51,26.22
38,"2017-08-01","Bihar","10",180.5,378.96,85.84,141.03
39,"2017-08-01","Chandigarh","04",39.65,58.89,76.15,0.29
40,"2017-08-01","Chhattisgarh","22",246.72,328.39,473.24,581.68
41,"2017-08-01","Delhi","07",732.5,1050.58,1381.49,90.11
42,"2017-08-01","Goa","30",76.05,105.54,221.43,1.75
43,"2017-08-01","Gujarat","24",1330.26,1868.47,2602.87,213.3
44,"2017-08-01","Haryana","06",799.75,1271.55,2256.54,342.68
45,"2017-08-01","Himachal Pradesh","02",88.06,133.75,600.59,1.1
46,"2017-08-01","Jammu And Kashmir","01",49.55,103.16,95.47,17.15
47,"2017-08-01","Jharkhand","20",202.52,334.11,685.69,359.61
48,"2017-08-01","Karnataka","29",1398.26,2107.27,2590.31,880.37
49,"2017-08-01","Kerala","32",474.65,799.13,249.93,10.05
50,"2017-08-01","Lakshadweep","31",0.17,0.17,0.01,0.0
51,"2017-08-01","Madhya Pradesh","23",404.15,626.25,655.27,426.32
52,"2017-08-01","Maharashtra","27",3504.23,4855.67,4383.49,847.19
53,"2017-08-01","Manipur","14",3.66,8.97,0.89,0.16
54,"2017-08-01","Meghalaya","17",12.1,20.59,37.93,6.86
55,"2017-08-01","Mizoram","15",1.59,4.17,0.26,0.03
56,"2017-08-01","Nagaland","13",2.65,5.57,5.41,0.1
57,"2017-08-01","Odisha","21",317.68,471.37,555.89,564.81
58,"2017-08-01","Puducherry","34",19.69,35.55,152.16,0.54
59,"2017-08-01","Punjab","03",313.45,577.38,618.5,12.5
60,"2017-08-01","Rajasthan","08",522.29,806.2,1084.97,126.74
61,"2017-08-01","Sikkim","11",5.09,24.81,130.09,0.04
62,"2017-08-01","Tamil Nadu","33",1505.14,2472.93,2218.65,429.37
63,"2017-08-01","Telangana","36",543.29,840.53,929.76,445.13
64,"2017-08-01","The Dadra And Nagar Haveli And Daman And Diu","38",17.94,32.81,231.94,0.28
65,"2017-08-01","Tripura","16",11.34,18.71,2.8,4.24
66,"2017-08-01","Uttar Pradesh","09",931.02,1569.63,1468.42,757.93
67,"2017-08-01","Uttarakhand","05",150.38,285.43,1241.91,15.13
68,"2017-08-01","West Bengal","19",751.01,1118.82,858.65,280.42
69,"2017-09-01","Andaman And Nicobar Islands","35",12.07,13.37,0.74,0.0
70,"2017-09-01","Andhra Pradesh","28",428.46,634.92,718.73,19.93
